iter,norm(d_hat-d)^2,gradient norm
1,7.37E+03,4.16E+05
1,8.58E+02,4.16E+04
1,3.11E+01,1.87E+02
2,2.79E+01,2.42E+01
2,2.74E+01,2.64E-01
3,2.74E+01,2.64E-01
3,2.73E+01,2.63E-01
3,2.64E+01,2.54E-01
3,1.83E+01,1.86E+00
3,1.26E+01,5.43E+02
3,9.14E+00,8.38E+01
3,8.63E+00,1.40E+02
4,1.63E+01,7.38E+02
4,3.49E+00,1.21E+01
5,2.80E+00,1.45E+00
5,2.59E+00,2.73E+00
5,2.58E+00,1.31E+00
6,2.57E+00,1.05E+00
6,2.53E+00,2.86E-02
7,2.53E+00,2.31E-02
7,2.53E+00,9.46E-02
8,2.52E+00,9.58E-02
8,2.46E+00,1.08E-01
8,1.84E+00,3.48E-01
8,3.71E-01,1.77E+01
9,1.05E+01,4.90E+02
9,5.07E-02,8.39E-04
9,5.00E-02,4.00E-02
10,4.84E-02,2.91E-02
10,4.32E-02,1.37E-03
11,4.39E-02,4.47E-02
11,4.31E-02,7.30E-04
12,4.31E-02,7.26E-04
12,4.27E-02,6.97E-04
12,3.88E-02,4.71E-04
12,1.00E-02,3.16E-03
12,2.34E-04,9.21E-03
13,9.15E+00,4.49E+02
13,8.62E-06,2.47E-06
13,7.82E-06,5.98E-05
14,5.36E-06,4.01E-05
14,4.16E-07,6.32E-09